,WING
Price/Earnings (TTM),110.217
Price/Sales (TTM),14.32417
Price/Book (MRQ),
Price/Cash Flow (TTM),88.72018
5yr Low,37.5
5yr High,187.35
5yr Avg Return,0.28975000000000006
EPS Growth 5yr,0.2456225
Revenue Growth 5yr,0.2228243
Dividend Growth 5yr,-0.2654883
Short Int Current Month,3112092.0
Short Int Prev Month,3176979.0
Short Int Pct of Float,0.1045952
Days to Cover,6.12636
Float,29.75634
Shares Outstanding,29.91638
Institutions Holding Shares,387.0
% Held by Institutions,1.158363
FCF Growth 5yr,0.3018695729640278
