,CHX
Price/Earnings (TTM),48.83966
Price/Sales (TTM),1.67491
Price/Book (MRQ),3.56499
Price/Cash Flow (TTM),16.47797
5yr Low,2.89
5yr High,46.11
5yr Avg Return,0.04197999999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.3255673
Dividend Growth 5yr,
Short Int Current Month,8459406.0
Short Int Prev Month,9173500.0
Short Int Pct of Float,0.0428385
Days to Cover,3.60177
Float,197.733
Shares Outstanding,199.3598
Institutions Holding Shares,419.0
% Held by Institutions,1.046404
FCF Growth 5yr,-3.1311851284400984
