,CHX
% Below High,0.0764
% Held by Institutions,1.0464
52-Wk Range,['16.64 - 33.13']
Annual Dividend $,0.3
Annual Dividend %,0.0098
Ask,32.76
Ask Size,100.0
B/A Ratio,8.0
B/A Size,800x100
Beta,2.6
Bid,30.6
Bid Size,800.0
Closing Price,30.6
Day Change $,-0.27
Day Change %,-0.0087
Day High,31.12
Day Low,30.57
Dividend Pay Date,2023-01-27 00:00:00
"EPS (TTM, GAAP)",0.63
Ex-dividend,2023-01-05 00:00:00
Ex-dividend Date,01/05/23
Historical Volatility,0.529
Last (size),97.0
Last (time),12:59p ET 11/25/22
Market Cap,6.1B
"P/E Ratio (TTM, GAAP)",48.84
Prev Close,30.87
Shares Outstanding,199.4M
Short Interest,0.042800000000000005
Today's Open,30.6
Volume,564823.0
Volume 10-day Avg,1536691.0
Volume Past Day,(Light)
