,WST
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.037780401416765086
Growth 1yr High Est,-0.03755868544600938
Growth 1yr Consensus Est,-0.03766954343138723
Growth 2yr Low Est,-0.11766320684335191
Growth 2yr High Est,-0.02792568418641922
Growth 2yr Consensus Est,-0.07279444551488556
Growth 5yr Low Est,0.2706642121230102
Growth 5yr High Est,0.31416000124702503
Growth 5yr Consensus Est,0.29241210668501755
Growth 5yr Actual/Est,0.2808760165061314
Growth 3yr Historic,0.31791420271812426
