,WST
% Above Low,0.08720000000000001
% Held by Institutions,0.9322
52-Wk Range,['206.19 - 475.00']
Annual Dividend $,0.76
Annual Dividend %,0.0034000000000000002
Ask,340.73
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.1
Bid,220.05
Bid Size,200.0
Closing Price,224.18
Day Change $,-2.47
Day Change %,-0.0109
Day High,226.28
Day Low,222.12
Dividend Pay Date,2022-11-16 00:00:00
"EPS (TTM, GAAP)",8.31
Ex-dividend,2022-11-08 00:00:00
Ex-dividend Date,11/08/22
Historical Volatility,0.418
Last (size),464.0
Last (time),7:00p ET 11/28/22
Market Cap,16.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",27.28
Prev Close,226.65
Shares Outstanding,74.0M
Short Interest,0.013500000000000002
Today's Open,224.86
Volume,555865.0
Volume 10-day Avg,972916.0
Volume Past Day,(Light)
