,FHB
Price/Earnings (TTM),14.07174
Price/Sales (TTM),4.54232
Price/Book (MRQ),1.54578
Price/Cash Flow (TTM),11.47223
5yr Low,13.56
5yr High,32.36
5yr Avg Return,0.004550000000000001
EPS Growth 5yr,0.044498699999999995
Revenue Growth 5yr,0.011604000000000001
Dividend Growth 5yr,0.390595
Short Int Current Month,3955748.0
Short Int Prev Month,4160389.0
Short Int Pct of Float,0.0311759
Days to Cover,10.05676
Float,126.8846
Shares Outstanding,127.6806
Institutions Holding Shares,325.0
% Held by Institutions,0.9845569999999999
FCF Growth 5yr,0.5473742386683192
