,FHB
Next Earnings Announcement,2023-01-20 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.024390243902438935
Growth 1yr High Est,-0.01904761904761909
Growth 1yr Consensus Est,-0.021718931475029013
Growth 2yr Low Est,0.03280487804878057
Growth 2yr High Est,0.07300046232085061
Growth 2yr Consensus Est,0.05290267018481559
Growth 5yr Low Est,0.0536180328090739
Growth 5yr High Est,0.064573320861422
Growth 5yr Consensus Est,0.059095676835247954
Growth 5yr Actual/Est,0.05224865134136189
Growth 3yr Historic,0.018973390017320096
