,FHB
% Below High,0.14279999999999998
% Held by Institutions,0.9845999999999999
52-Wk Range,['21.21 - 31.16']
Annual Dividend $,1.04
Annual Dividend %,0.038900000000000004
Ask,26.71
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.1
Bid,24.32
Bid Size,100.0
Closing Price,26.71
Day Change $,0.15
Day Change %,0.005600000000000001
Day High,26.77
Day Low,26.59
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",1.9
Ex-dividend,2022-11-18 00:00:00
Ex-dividend Date,11/18/22
Historical Volatility,0.292
Last (size),59.0
Last (time),1:00p ET 11/25/22
Market Cap,3.4B
"P/E Ratio (TTM, GAAP)",14.07
Prev Close,26.56
Shares Outstanding,127.7M
Short Interest,0.031200000000000002
Today's Open,26.67
Volume,134761.0
Volume 10-day Avg,381736.0
Volume Past Day,(Light)
