,EPC
Price/Earnings (TTM),22.47695
Price/Sales (TTM),0.98614
Price/Book (MRQ),1.47084
Price/Cash Flow (TTM),11.36122
5yr Low,20.51
5yr High,62.67
5yr Avg Return,-0.02556666666666668
EPS Growth 5yr,0.7934997
Revenue Growth 5yr,-0.0112765
Dividend Growth 5yr,
Short Int Current Month,2829533.0
Short Int Prev Month,3078442.0
Short Int Pct of Float,0.0582081
Days to Cover,6.41689
Float,48.65862
Shares Outstanding,51.44345
Institutions Holding Shares,286.0
% Held by Institutions,0.887658
FCF Growth 5yr,-0.5007570594908581
