,EPC
% Above Low,0.3009
% Held by Institutions,0.8876999999999999
52-Wk Range,['32.00 - 51.86']
Annual Dividend $,0.6
Annual Dividend %,0.0144
Ask,41.98
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.9
Bid,
Bid Size,
Closing Price,41.63
Day Change $,0.37
Day Change %,0.009000000000000001
Day High,41.63
Day Low,41.0
Dividend Pay Date,2023-01-04 00:00:00
"EPS (TTM, GAAP)",1.85
Ex-dividend,2022-11-28 00:00:00
Ex-dividend Date,11/28/22
Historical Volatility,0.353
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,2.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",22.48
Prev Close,41.26
Shares Outstanding,51.4M
Short Interest,0.0582
Today's Open,41.0
Volume,136516.0
Volume 10-day Avg,333799.0
Volume Past Day,(Light)
