,PHM
% Above Low,0.2608
% Held by Institutions,0.9173
52-Wk Range,['35.03 - 58.09']
Annual Dividend $,0.6
Annual Dividend %,0.013500000000000002
Ask,44.18
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,44.16
Bid Size,100.0
Day Change $,-0.35
Day Change %,-0.0079
Day High,44.39
Day Low,43.79
Dividend Pay Date,2022-10-04 00:00:00
"EPS (TTM, GAAP)",9.96
Ex-dividend,2022-09-21 00:00:00
Ex-dividend Date,09/21/22
Historical Volatility,0.445
Last (size),7.0
Last (time),10:47a ET 11/28/22
Market Cap,10.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",4.47
Prev Close,44.52
Price,44.17
Shares Outstanding,227.8M
Short Interest,0.0454
Today's Open,44.02
Volume Past Day,(Average)
