,PHM
Price/Earnings (TTM),4.46831
Price/Sales (TTM),0.65792
Price/Book (MRQ),1.2446
Price/Cash Flow (TTM),4.11084
5yr Low,17.12
5yr High,63.91
5yr Avg Return,0.08240000000000001
EPS Growth 5yr,0.335482
Revenue Growth 5yr,0.1267536
Dividend Growth 5yr,0.0923885
Short Int Current Month,10278695.0
Short Int Prev Month,11682758.0
Short Int Pct of Float,0.045429399999999995
Days to Cover,3.67988
Float,226.2567
Shares Outstanding,227.8197
Institutions Holding Shares,937.0
% Held by Institutions,0.917348
FCF Growth 5yr,-4.222155313782687
