,PHM
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.4502164502164503
Growth 1yr High Est,0.4212707182320441
Growth 1yr Consensus Est,0.4357435842242472
Growth 2yr Low Est,-0.05598630225495893
Growth 2yr High Est,0.12657316280892783
Growth 2yr Consensus Est,0.03529343027698445
Growth 5yr Low Est,0.17899845881592197
Growth 5yr High Est,0.27138634801950967
Growth 5yr Consensus Est,0.22519240341771582
Growth 5yr Actual/Est,0.2330836558003046
Growth 3yr Historic,0.2075896153765006
