,PRK
Price/Earnings (TTM),15.87905
Price/Sales (TTM),5.01512
Price/Book (MRQ),2.3117
Price/Cash Flow (TTM),14.34862
5yr Low,64.53
5yr High,149.53
5yr Avg Return,0.05511666666666667
EPS Growth 5yr,0.1088385
Revenue Growth 5yr,0.0459606
Dividend Growth 5yr,0.0184551
Short Int Current Month,853518.0
Short Int Prev Month,893724.0
Short Int Pct of Float,0.053842
Days to Cover,27.39146
Float,15.85342
Shares Outstanding,16.26358
Institutions Holding Shares,233.0
% Held by Institutions,0.518725
FCF Growth 5yr,0.256466766232535
