,PRK
Next Earnings Announcement,2023-01-23 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.00328947368421062
Growth 1yr High Est,0.029063509149623412
Growth 1yr Consensus Est,0.016176491416917016
Growth 2yr Low Est,-0.009284224906528638
Growth 2yr High Est,0.000933428214979104
Growth 2yr Consensus Est,-0.004175398345774767
Growth 5yr Low Est,0.0923898510170553
Growth 5yr High Est,0.10076837323267807
Growth 5yr Consensus Est,0.09657911212486668
Growth 5yr Actual/Est,0.10392643971376159
Growth 3yr Historic,0.11033641107170516
