,PRK
% Below High,0.0239
% Held by Institutions,0.5186999999999999
52-Wk Range,['112.78 - 149.53']
Annual Dividend $,4.16
Annual Dividend %,0.0282
Ask,147.33
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.8
Bid,145.99
Bid Size,200.0
Day Change $,-1.42
Day Change %,-0.0096
Day High,147.04
Day Low,145.95
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",9.28
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.253
Last (size),1.0
Last (time),11:15a ET 11/28/22
Market Cap,2.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",15.88
Prev Close,147.37
Price,145.95
Shares Outstanding,16.3M
Short Interest,0.0538
Today's Open,146.91
Volume Past Day,(Light)
