,MTLS
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-1.4
Growth 2yr High Est,0.3043478260869563
Growth 2yr Consensus Est,-0.5478260869565218
Growth 5yr Low Est,-1.4
Growth 5yr High Est,0.3043478260869563
Growth 5yr Consensus Est,-0.5478260869565218
Growth 5yr Actual/Est,-1.9747474747474745
Growth 3yr Historic,-2.0303030303030303
