,MTLS
% Above Low,0.041100000000000005
% Held by Institutions,0.2857
52-Wk Range,['9.25 - 26.00']
Annual Dividend $,
Annual Dividend %,
Ask,11.0
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,0.7
Bid,7.53
Bid Size,100.0
Closing Price,9.63
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.13
Ex-dividend Date,No dividend
Historical Volatility,0.613
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,568.8M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",76.11
Prev Close,9.63
Shares Outstanding,59.1M
Short Interest,0.0073
Today's Open,
Volume,60376.0
Volume 10-day Avg,278982.0
Volume Past Day,(Light)
