,BHE
% Below High,0.0483
% Held by Institutions,0.9417
52-Wk Range,['21.11 - 30.00']
Annual Dividend $,0.66
Annual Dividend %,0.0231
Ask,30.0
Ask Size,700.0
B/A Ratio,1.4285714285714286
B/A Size,1000x700
Beta,1.0
Bid,21.0
Bid Size,1000.0
Closing Price,28.55
Day Change $,0.29
Day Change %,0.0103
Day High,28.89
Day Low,28.32
Dividend Pay Date,2022-10-14 00:00:00
"EPS (TTM, GAAP)",1.68
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.316
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,1.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.01
Prev Close,28.26
Shares Outstanding,35.2M
Short Interest,0.017
Today's Open,28.44
Volume,133909.0
Volume 10-day Avg,121405.0
Volume Past Day,(Above Average)
