,BHE
Price/Earnings (TTM),17.00994
Price/Sales (TTM),0.36272
Price/Book (MRQ),1.003
Price/Cash Flow (TTM),9.70498
5yr Low,14.06
5yr High,37.36
5yr Avg Return,0.0226
EPS Growth 5yr,-0.050392
Revenue Growth 5yr,-0.0058349
Dividend Growth 5yr,
Short Int Current Month,586767.0
Short Int Prev Month,724752.0
Short Int Pct of Float,0.0169538
Days to Cover,3.62811
Float,34.6077
Shares Outstanding,35.17623
Institutions Holding Shares,256.0
% Held by Institutions,0.941672
FCF Growth 5yr,0.5445145994149015
