,BHE
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,1.127659574468085
Growth 1yr High Est,1.2315789473684213
Growth 1yr Consensus Est,1.1796192609182532
Growth 2yr Low Est,0.6163297872340425
Growth 2yr High Est,0.6818272095332673
Growth 2yr Consensus Est,0.6490784983836548
Growth 5yr Low Est,0.24033543625268017
Growth 5yr High Est,0.2524782306169737
Growth 5yr Consensus Est,0.24640683343482697
Growth 5yr Actual/Est,0.19973639907850435
Growth 3yr Historic,0.035187400318979295
