,EVCM
Price/Earnings (TTM),
Price/Sales (TTM),2.24525
Price/Book (MRQ),1.44232
Price/Cash Flow (TTM),20.58342
5yr Low,5.93
5yr High,23.41
5yr Avg Return,-0.38769999999999993
Short Int Current Month,969604.0
Short Int Prev Month,1024282.0
Short Int Pct of Float,0.0086304
Days to Cover,3.16269
Float,179.4318
Shares Outstanding,193.2012
Institutions Holding Shares,110.0
% Held by Institutions,0.887453
FCF Growth 5yr,0.2487152119439567
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
