,EVCM
% Above Low,0.1653
% Held by Institutions,0.8875
52-Wk Range,['5.93 - 17.72']
Annual Dividend $,
Annual Dividend %,
Ask,6.95
Ask Size,400.0
B/A Ratio,4.0
B/A Size,1600x400
Beta,
Bid,6.91
Bid Size,1600.0
Closing Price,6.91
Day Change $,0.29
Day Change %,0.0438
Day High,7.05
Day Low,6.49
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.24
Ex-dividend Date,No dividend
Historical Volatility,0.599
Last (size),118.0
Last (time),1:00p ET 11/25/22
Market Cap,1.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,6.62
Shares Outstanding,193.2M
Short Interest,0.0086
Today's Open,6.49
Volume,96142.0
Volume 10-day Avg,376896.0
Volume Past Day,(Light)
