,RRR
% Below High,0.1913
% Held by Institutions,0.9693999999999999
52-Wk Range,['30.98 - 55.84']
Annual Dividend $,1.0
Annual Dividend %,0.0225
Ask,45.18
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,2.2
Bid,45.14
Bid Size,100.0
Day Change $,0.68
Day Change %,0.015300000000000001
Day High,45.16
Day Low,43.77
Dividend Pay Date,2022-09-30 00:00:00
"EPS (TTM, GAAP)",3.17
Ex-dividend,2022-09-14 00:00:00
Ex-dividend Date,09/14/22
Historical Volatility,0.48200000000000004
Last (size),192.0
Last (time),1:17p ET 11/28/22
Market Cap,2.6B
"P/E Ratio (TTM, GAAP)",14.05
Prev Close,44.48
Price,45.16
Shares Outstanding,58.0M
Short Interest,0.0385
Today's Open,44.3
Volume Past Day,(Above Average)
