,RRR
Price/Earnings (TTM),14.04515
Price/Sales (TTM),2.78521
Price/Book (MRQ),142.6173
Price/Cash Flow (TTM),8.39585
5yr Low,2.76
5yr High,58.74
5yr Avg Return,0.1561
EPS Growth 5yr,-0.0498896
Revenue Growth 5yr,0.021813
Dividend Growth 5yr,
Short Int Current Month,2046012.0
Short Int Prev Month,2270730.0
Short Int Pct of Float,0.0384993
Days to Cover,5.54554
Float,53.14408
Shares Outstanding,103.9862
Institutions Holding Shares,234.0
% Held by Institutions,0.969366
FCF Growth 5yr,-0.3448335548908829
