,FN
Price/Earnings (TTM),21.91206
Price/Sales (TTM),1.99924
Price/Book (MRQ),3.6447
Price/Cash Flow (TTM),18.21497
5yr Low,24.02
5yr High,131.49
5yr Avg Return,0.28683333333333333
EPS Growth 5yr,0.1586998
Revenue Growth 5yr,0.09753780000000001
Dividend Growth 5yr,
Short Int Current Month,837473.0
Short Int Prev Month,892637.0
Short Int Pct of Float,0.0231296
Days to Cover,3.11958
Float,36.40552
Shares Outstanding,36.58747
Institutions Holding Shares,353.0
% Held by Institutions,0.995901
FCF Growth 5yr,1.8975178318504922
