,FN
% Below High,0.013300000000000001
% Held by Institutions,0.9959
52-Wk Range,['74.57 - 131.49']
Annual Dividend $,
Annual Dividend %,
Ask,154.82
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.0
Bid,51.92
Bid Size,200.0
Closing Price,129.74
Day Change $,0.23
Day Change %,0.0018
Day High,130.42
Day Low,129.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.92
Ex-dividend Date,No dividend
Historical Volatility,0.408
Last (size),17.0
Last (time),5:00p ET 11/25/22
Market Cap,4.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",21.91
Prev Close,129.51
Shares Outstanding,36.6M
Short Interest,0.0231
Today's Open,129.5
Volume,66641.0
Volume 10-day Avg,174581.0
Volume Past Day,(Light)
