,SSD
Next Earnings Announcement,2023-02-06 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.7499999999999998
Growth 1yr High Est,0.7611241217798597
Growth 1yr Consensus Est,0.7555620608899297
Growth 2yr Low Est,0.21513605442176859
Growth 2yr High Est,0.31274291195375964
Growth 2yr Consensus Est,0.2639394831877641
Growth 5yr Low Est,0.22598907984246322
Growth 5yr High Est,0.2598482771689328
Growth 5yr Consensus Est,0.24291867850569798
Growth 5yr Actual/Est,0.2111654586024591
Growth 3yr Historic,0.21653529384027792
