,SSD
Price/Earnings (TTM),11.62949
Price/Sales (TTM),1.92485
Price/Book (MRQ),2.96311
Price/Cash Flow (TTM),9.90847
5yr Low,47.02
5yr High,141.26
5yr Avg Return,0.11651666666666666
EPS Growth 5yr,0.2692568
Revenue Growth 5yr,0.1282135
Dividend Growth 5yr,0.13045579999999998
Short Int Current Month,771615.0
Short Int Prev Month,898594.0
Short Int Pct of Float,0.0182355
Days to Cover,3.49702
Float,42.31389
Shares Outstanding,42.59788
Institutions Holding Shares,377.0
% Held by Institutions,0.88703
FCF Growth 5yr,1.0927194396588507
