,FWONK
% Above Low,0.1968
% Held by Institutions,
52-Wk Range,['50.00 - 71.17']
Annual Dividend $,
Annual Dividend %,
Ask,60.22
Ask Size,1700.0
B/A Ratio,3.0588235294117645
B/A Size,5200x1700
Beta,
Bid,59.46
Bid Size,5200.0
Closing Price,59.84
Day Change $,0.05
Day Change %,0.0008
Day High,61.24
Day Low,59.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",
Ex-dividend Date,No dividend
Historical Volatility,0.321
Last (size),1400.0
Last (time),1:00p ET 11/25/22
Market Cap,14.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",--x
Prev Close,59.79
Shares Outstanding,233.8M
Short Interest,
Today's Open,59.86
Volume,446118.0
Volume 10-day Avg,1045917.0
Volume Past Day,(Light)
