,AIT
% Below High,0.0060999999999999995
% Held by Institutions,0.9366
52-Wk Range,['88.09 - 132.72']
Annual Dividend $,1.36
Annual Dividend %,0.0103
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.2
Bid,36.91
Bid Size,
Closing Price,131.91
Day Change $,1.21
Day Change %,0.009300000000000001
Day High,132.72
Day Low,130.74
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",7.19
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.344
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,5.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.34
Prev Close,130.7
Shares Outstanding,38.6M
Short Interest,0.0131
Today's Open,131.32
Volume,50741.0
Volume 10-day Avg,150919.0
Volume Past Day,(Light)
