,TAP
% Below High,0.086
% Held by Institutions,0.8534
52-Wk Range,['42.60 - 60.12']
Annual Dividend $,1.52
Annual Dividend %,0.0273
Ask,54.96
Ask Size,500.0
B/A Ratio,2.0
B/A Size,1000x500
Beta,0.9
Bid,54.95
Bid Size,1000.0
Day Change $,-0.63
Day Change %,-0.0113
Day High,55.7
Day Low,54.94
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",2.27
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.294
Last (size),100.0
Last (time),3:58p ET 11/28/22
Market Cap,11.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.44
Prev Close,55.58
Price,54.95
Shares Outstanding,216.5M
Short Interest,0.047
Today's Open,55.17
Volume Past Day,(Below Average)
