,TAP
Price/Earnings (TTM),24.43732
Price/Sales (TTM),1.12843
Price/Book (MRQ),0.91365
Price/Cash Flow (TTM),10.19582
5yr Low,32.11
5yr High,85.86
5yr Avg Return,-0.04839999999999999
EPS Growth 5yr,-0.0915343
Revenue Growth 5yr,0.16044129999999998
Dividend Growth 5yr,-0.1614422
Short Int Current Month,8331838.0
Short Int Prev Month,8200469.0
Short Int Pct of Float,0.046965700000000006
Days to Cover,5.46254
Float,180.067
Shares Outstanding,216.5462
Institutions Holding Shares,825.0
% Held by Institutions,0.853352
FCF Growth 5yr,-0.6665715921023551
