,DDD
Price/Earnings (TTM),
Price/Sales (TTM),2.29699
Price/Book (MRQ),1.73002
Price/Cash Flow (TTM),
5yr Low,4.6
5yr High,56.5
5yr Avg Return,0.10604999999999999
EPS Growth 5yr,
Revenue Growth 5yr,-0.0055355
Dividend Growth 5yr,
Short Int Current Month,10591931.0
Short Int Prev Month,9863902.0
Short Int Pct of Float,0.082832
Days to Cover,5.52838
Float,127.9336
Shares Outstanding,131.1618
Institutions Holding Shares,329.0
% Held by Institutions,0.652285
FCF Growth 5yr,0.10288112522686021
