,DDD
% Above Low,0.2807
% Held by Institutions,0.6523
52-Wk Range,['7.61 - 24.15']
Annual Dividend $,
Annual Dividend %,
Ask,9.75
Ask Size,600.0
B/A Ratio,0.3333333333333333
B/A Size,200x600
Beta,1.5
Bid,9.08
Bid Size,200.0
Closing Price,9.74
Day Change $,-0.01
Day Change %,-0.001
Day High,9.79
Day Low,9.67
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.81
Ex-dividend Date,No dividend
Historical Volatility,0.628
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,1.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,9.75
Shares Outstanding,131.2M
Short Interest,0.0828
Today's Open,9.71
Volume,327757.0
Volume 10-day Avg,1468426.0
Volume Past Day,(Light)
