,TRV
% Below High,0.0169
% Held by Institutions,0.83
52-Wk Range,['145.40 - 189.53']
Annual Dividend $,3.72
Annual Dividend %,0.0197
Ask,190.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.7
Bid,182.5
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,186.32
Day Change $,-2.59
Day Change %,-0.0137
Day High,189.11
Day Low,186.05
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",13.69
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.23800000000000002
Last (size),77700.0
Last (time),7:00p ET 11/28/22
Last Trade,0.0
Market Cap,43.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.8
Prev Close,188.91
Shares Outstanding,234.3M
Short Interest,0.015
Today's Open,188.42
Volume,1467595.0
Volume 10-day Avg,1211709.0
Volume Past Day,(Heavy Day)
