,TRV
Price/Earnings (TTM),13.80224
Price/Sales (TTM),1.21974
Price/Book (MRQ),2.22353
Price/Cash Flow (TTM),10.53309
5yr Low,76.99
5yr High,189.53
5yr Avg Return,0.06309999999999999
EPS Growth 5yr,0.0710793
Revenue Growth 5yr,0.0471507
Dividend Growth 5yr,0.062104400000000004
Short Int Current Month,3490601.0
Short Int Prev Month,3788355.0
Short Int Pct of Float,0.0149519
Days to Cover,2.46937
Float,233.8505
Shares Outstanding,234.3475
Institutions Holding Shares,1573.0
% Held by Institutions,0.829979
FCF Growth 5yr,
