,HRT
Price/Earnings (TTM),7.9644
Price/Sales (TTM),1.11588
Price/Book (MRQ),1.66034
Price/Cash Flow (TTM),4.80457
5yr Low,6.88
5yr High,19.46
5yr Avg Return,-0.19149999999999998
Short Int Current Month,846472.0
Short Int Prev Month,944429.0
Short Int Pct of Float,0.046545199999999995
Days to Cover,1.64564
Float,67.56319
Shares Outstanding,79.48491
Institutions Holding Shares,111.0
% Held by Institutions,0.879808
FCF Growth 5yr,-1.7795262363141322
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
