,HRT
% Above Low,0.6943
% Held by Institutions,0.8798
52-Wk Range,['6.88 - 19.46']
Annual Dividend $,
Annual Dividend %,
Ask,12.19
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,
Bid,11.1
Bid Size,100.0
Closing Price,11.65
Day Change $,0.87
Day Change %,0.08070000000000001
Day High,12.1
Day Low,11.2
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.46
Ex-dividend Date,No dividend
Historical Volatility,0.8290000000000001
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,926.0M
"P/E Ratio (TTM, GAAP)",7.96
Prev Close,10.78
Shares Outstanding,79.5M
Short Interest,0.04650000000000001
Today's Open,11.2
Volume,482824.0
Volume 10-day Avg,650368.0
Volume Past Day,(Light)
