,FIVE
Price/Earnings (TTM),38.04599
Price/Sales (TTM),3.08039
Price/Book (MRQ),7.71709
Price/Cash Flow (TTM),26.94943
5yr Low,47.53
5yr High,237.86
5yr Avg Return,0.20736666666666667
EPS Growth 5yr,0.30604
Revenue Growth 5yr,0.23277319999999999
Dividend Growth 5yr,
Short Int Current Month,4011796.0
Short Int Prev Month,4238753.0
Short Int Pct of Float,0.0740879
Days to Cover,5.81309
Float,54.1644
Shares Outstanding,55.50719
Institutions Holding Shares,526.0
% Held by Institutions,1.084533
FCF Growth 5yr,0.04259098508780582
