,FIVE
% Above Low,0.47619999999999996
% Held by Institutions,1.0845
52-Wk Range,['109.49 - 214.50']
Annual Dividend $,
Annual Dividend %,
Ask,161.75
Ask Size,1300.0
B/A Ratio,0.7692307692307693
B/A Size,1000x1300
Beta,1.2
Bid,148.0
Bid Size,1000.0
Closing Price,161.63
Day Change $,0.36
Day Change %,0.0022
Day High,162.82
Day Low,159.59
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.25
Ex-dividend Date,No dividend
Historical Volatility,0.524
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,9.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",38.05
Prev Close,161.27
Shares Outstanding,55.5M
Short Interest,0.0741
Today's Open,160.77
Volume,362339.0
Volume 10-day Avg,778100.0
Volume Past Day,(Light)
