,HSTM
Price/Earnings (TTM),83.19247
Price/Sales (TTM),2.92194
Price/Book (MRQ),2.32342
Price/Cash Flow (TTM),16.34157
5yr Low,17.95
5yr High,31.86
5yr Avg Return,0.020533333333333334
EPS Growth 5yr,0.0435145
Revenue Growth 5yr,0.0596755
Dividend Growth 5yr,
Short Int Current Month,358586.0
Short Int Prev Month,308317.0
Short Int Pct of Float,0.014870300000000001
Days to Cover,1.94343
Float,24.14442
Shares Outstanding,30.57307
Institutions Holding Shares,228.0
% Held by Institutions,0.720847
FCF Growth 5yr,0.16902786699890693
