,HSTM
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.8421052631578947
Growth 1yr High Est,0.7272727272727273
Growth 1yr Consensus Est,0.784688995215311
Growth 2yr Low Est,0.3353383458646616
Growth 2yr High Est,0.35047846889952156
Growth 2yr Consensus Est,0.3429084073820916
Growth 5yr Low Est,0.04469710862522155
Growth 5yr High Est,0.053096757044125496
Growth 5yr Consensus Est,0.048896932834673536
Growth 5yr Actual/Est,-0.005246723996723962
Growth 3yr Historic,-0.11363636363636365
