,HSTM
% Below High,0.0634
% Held by Institutions,0.7208
52-Wk Range,['18.51 - 26.80']
Annual Dividend $,
Annual Dividend %,
Ask,40.14
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.5
Bid,22.88
Bid Size,200.0
Closing Price,25.1
Day Change $,0.04
Day Change %,0.0016
Day High,25.28
Day Low,24.97
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.3
Ex-dividend Date,No dividend
Historical Volatility,0.334
Last (size),12.0
Last (time),1:00p ET 11/25/22
Market Cap,767.3M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",83.19
Prev Close,25.06
Shares Outstanding,30.6M
Short Interest,0.0149
Today's Open,24.97
Volume,48712.0
Volume 10-day Avg,160858.0
Volume Past Day,(Light)
