,CPRX
Next Earnings Announcement,2023-03-15 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.05970149253731338
Growth 1yr High Est,0.05633802816901423
Growth 1yr Consensus Est,0.05801976035316381
Growth 2yr Low Est,0.043935253310910194
Growth 2yr High Est,0.18816901408450715
Growth 2yr Consensus Est,0.11605213369770867
Growth 5yr Low Est,0.02929016887394013
Growth 5yr High Est,0.12544600938967143
Growth 5yr Consensus Est,0.07736808913180578
Growth 5yr Actual/Est,0.5165614630644536
Growth 3yr Historic,0.22194835680751174
