,CPRX
Price/Earnings (TTM),27.91027
Price/Sales (TTM),9.21014
Price/Book (MRQ),6.53966
Price/Cash Flow (TTM),26.13566
5yr Low,1.85
5yr High,17.76
5yr Avg Return,0.48581666666666673
Short Int Current Month,6674323.0
Short Int Prev Month,8060255.0
Short Int Pct of Float,0.0680663
Days to Cover,2.491
Float,97.65855
Shares Outstanding,104.0714
Institutions Holding Shares,294.0
% Held by Institutions,0.812864
FCF Growth 5yr,1.1403355215075186
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
