,CPRX
% Below High,0.044500000000000005
% Held by Institutions,0.8129000000000001
52-Wk Range,['5.24 - 17.76']
Annual Dividend $,
Annual Dividend %,
Ask,17.2
Ask Size,1800.0
B/A Ratio,0.5555555555555556
B/A Size,1000x1800
Beta,1.2
Bid,17.0
Bid Size,1000.0
Closing Price,16.97
Day Change $,-0.06
Day Change %,-0.0034999999999999996
Day High,17.11
Day Low,16.47
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.61
Ex-dividend Date,No dividend
Historical Volatility,0.58
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,1.8B
"P/E Ratio (TTM, GAAP)",27.91
Prev Close,17.03
Shares Outstanding,104.1M
Short Interest,0.0681
Today's Open,16.93
Volume,1008798.0
Volume 10-day Avg,3043165.0
Volume Past Day,(Light)
