,TRUP
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,14.875
Growth 1yr High Est,21.0
Growth 1yr Consensus Est,17.9375
Growth 2yr Low Est,7.4375
Growth 2yr High Est,10.090909090909092
Growth 2yr Consensus Est,8.764204545454547
Growth 5yr Low Est,3.71875
Growth 5yr High Est,5.045454545454546
Growth 5yr Consensus Est,4.3821022727272725
Growth 5yr Actual/Est,1.7125883862843856
Growth 3yr Historic,1.6906249999999998
