,TRUP
% Above Low,0.2443
% Held by Institutions,1.0386
52-Wk Range,['40.77 - 158.25']
Annual Dividend $,
Annual Dividend %,
Ask,51.25
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.8
Bid,50.34
Bid Size,100.0
Closing Price,50.73
Day Change $,-3.4
Day Change %,-0.06280000000000001
Day High,54.0
Day Low,50.06
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.04
Ex-dividend Date,No dividend
Historical Volatility,0.838
Last (size),1.0
Last (time),3:59p ET 11/28/22
Market Cap,2.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,54.13
Shares Outstanding,40.9M
Short Interest,0.2164
Today's Open,53.37
Volume,631003.0
Volume 10-day Avg,784650.0
Volume Past Day,(Below Average)
