,TRUP
Price/Earnings (TTM),
Price/Sales (TTM),2.59274
Price/Book (MRQ),7.23651
Price/Cash Flow (TTM),
5yr Low,20.84
5yr High,158.25
5yr Avg Return,0.32103333333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.3000395
Dividend Growth 5yr,
Short Int Current Month,8042050.0
Short Int Prev Month,7934978.0
Short Int Pct of Float,0.216358
Days to Cover,7.95426
Float,37.20052
Shares Outstanding,40.88365
Institutions Holding Shares,285.0
% Held by Institutions,1.038586
FCF Growth 5yr,0.6331057292311145
