,WWD
% Above Low,0.1927
% Held by Institutions,0.8323
52-Wk Range,['79.26 - 129.12']
Annual Dividend $,0.76
Annual Dividend %,0.0077
Ask,95.23
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,94.08
Bid Size,100.0
Closing Price,94.53
Day Change $,-4.2
Day Change %,-0.0425
Day High,98.11
Day Low,94.3
Dividend Pay Date,2022-11-28 00:00:00
"EPS (TTM, GAAP)",2.73
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.329
Last (size),776.0
Last (time),4:00p ET 11/28/22
Market Cap,5.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",36.23
Prev Close,98.73
Shares Outstanding,59.8M
Short Interest,0.024399999999999998
Today's Open,97.84
Volume,394451.0
Volume 10-day Avg,357490.0
Volume Past Day,(Above Average)
