,WWD
Price/Earnings (TTM),36.22907
Price/Sales (TTM),2.47629
Price/Book (MRQ),3.10312
Price/Cash Flow (TTM),20.15327
5yr Low,46.51
5yr High,130.75
5yr Avg Return,0.061550000000000014
EPS Growth 5yr,-0.0297564
Revenue Growth 5yr,0.0257174
Dividend Growth 5yr,0.0859584
Short Int Current Month,1444933.0
Short Int Prev Month,1444907.0
Short Int Pct of Float,0.024443700000000002
Days to Cover,4.9794
Float,59.169
Shares Outstanding,59.76375
Institutions Holding Shares,390.0
% Held by Institutions,0.832322
FCF Growth 5yr,0.9181111995616731
