,MSM
Price/Earnings (TTM),13.86905
Price/Sales (TTM),1.27278
Price/Book (MRQ),3.47956
Price/Cash Flow (TTM),11.43697
5yr Low,44.93
5yr High,99.94
5yr Avg Return,0.006150000000000002
EPS Growth 5yr,0.0839545
Revenue Growth 5yr,0.0503598
Dividend Growth 5yr,0.10756629999999999
Short Int Current Month,761141.0
Short Int Prev Month,873177.0
Short Int Pct of Float,0.0167162
Days to Cover,2.58961
Float,45.76209
Shares Outstanding,55.8736
Institutions Holding Shares,463.0
% Held by Institutions,0.9013849999999999
FCF Growth 5yr,1.035144087297024
