,MSM
% Below High,0.044199999999999996
% Held by Institutions,0.9014
52-Wk Range,['71.33 - 87.99']
Annual Dividend $,3.16
Annual Dividend %,0.037599999999999995
Ask,100.01
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.0
Bid,
Bid Size,
Closing Price,84.1
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-29 00:00:00
"EPS (TTM, GAAP)",6.06
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.237
Last (size),549.0
Last (time),5:00p ET 11/25/22
Market Cap,4.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.87
Prev Close,84.1
Shares Outstanding,55.9M
Short Interest,0.0167
Today's Open,
Volume,172831.0
Volume 10-day Avg,305006.0
Volume Past Day,(Light)
