,MSM
Next Earnings Announcement,2023-01-05 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.08177172061328797
Growth 1yr High Est,0.008000000000000007
Growth 1yr Consensus Est,-0.03688586030664398
Growth 2yr Low Est,-0.03995821652185727
Growth 2yr High Est,0.04447619047619045
Growth 2yr Consensus Est,0.0022589869771665883
Growth 5yr Low Est,0.05573494140388108
Growth 5yr High Est,0.10626716141001852
Growth 5yr Consensus Est,0.0810010514069498
Growth 5yr Actual/Est,0.07459410965947674
Growth 3yr Historic,0.07333855276893253
