,AADI
Price/Earnings (TTM),
Price/Sales (TTM),29.56984
Price/Book (MRQ),1.92151
Price/Cash Flow (TTM),
5yr Low,6.3
5yr High,82.5
5yr Avg Return,-0.10236666666666665
Short Int Current Month,1061468.0
Short Int Prev Month,937861.0
Short Int Pct of Float,0.0549963
Days to Cover,10.56765
Float,20.63551
Shares Outstanding,24.39512
Institutions Holding Shares,91.0
% Held by Institutions,0.627117
FCF Growth 5yr,0.23397836769851188
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
