,AADI
% Above Low,0.2109
% Held by Institutions,0.6271
52-Wk Range,['11.00 - 26.60']
Annual Dividend $,
Annual Dividend %,
Ask,20.73
Ask Size,200.0
B/A Ratio,2.5
B/A Size,500x200
Beta,1.3
Bid,12.85
Bid Size,500.0
Closing Price,13.32
Day Change $,0.15
Day Change %,0.011399999999999999
Day High,13.43
Day Low,13.25
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.97
Ex-dividend Date,No dividend
Historical Volatility,0.638
Last (size),7.0
Last (time),1:00p ET 11/25/22
Market Cap,324.9M
"P/E Ratio (TTM, GAAP)",
Prev Close,13.17
Shares Outstanding,24.4M
Short Interest,0.055
Today's Open,13.3
Volume,28331.0
Volume 10-day Avg,83176.0
Volume Past Day,(Light)
