,ORLY
Price/Earnings (TTM),26.12795
Price/Sales (TTM),3.81046
Price/Book (MRQ),
Price/Cash Flow (TTM),21.32576
5yr Low,217.64
5yr High,855.19
5yr Avg Return,0.2653833333333333
EPS Growth 5yr,0.23718019999999998
Revenue Growth 5yr,0.0917425
Dividend Growth 5yr,
Short Int Current Month,978097.0
Short Int Prev Month,817487.0
Short Int Pct of Float,0.015821099999999998
Days to Cover,2.01598
Float,61.8393
Shares Outstanding,62.57591
Institutions Holding Shares,1460.0
% Held by Institutions,0.8314010000000001
FCF Growth 5yr,0.29512974772144224
