,BCRX
% Above Low,0.6137
% Held by Institutions,0.7890999999999999
52-Wk Range,['7.61 - 19.99']
Annual Dividend $,
Annual Dividend %,
Ask,12.95
Ask Size,13000.0
B/A Ratio,0.07692307692307693
B/A Size,1000x13000
Beta,2.0
Bid,12.1
Bid Size,1000.0
Closing Price,12.28
Day Change $,-0.11
Day Change %,-0.0089
Day High,12.4
Day Low,12.23
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.04
Ex-dividend Date,No dividend
Historical Volatility,0.84
Last (size),23.0
Last (time),12:59p ET 11/25/22
Market Cap,2.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,12.39
Shares Outstanding,186.4M
Short Interest,0.15439999999999998
Today's Open,12.31
Volume,647845.0
Volume 10-day Avg,2180909.0
Volume Past Day,(Light)
