,CBZ
% Below High,0.0148
% Held by Institutions,0.9153
52-Wk Range,['35.32 - 50.57']
Annual Dividend $,
Annual Dividend %,
Ask,70.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,46.51
Bid Size,100.0
Closing Price,49.82
Day Change $,0.51
Day Change %,0.0103
Day High,50.32
Day Low,49.49
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.03
Ex-dividend Date,No dividend
Historical Volatility,0.275
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,2.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.5
Prev Close,49.31
Shares Outstanding,50.8M
Short Interest,0.0121
Today's Open,49.61
Volume,111375.0
Volume 10-day Avg,197287.0
Volume Past Day,(Light)
