,CBZ
Price/Earnings (TTM),24.49951
Price/Sales (TTM),1.86244
Price/Book (MRQ),3.29383
Price/Cash Flow (TTM),18.20413
5yr Low,14.35
5yr High,50.57
5yr Avg Return,0.23498333333333335
EPS Growth 5yr,0.1170769
Revenue Growth 5yr,0.0667602
Dividend Growth 5yr,
Short Int Current Month,584531.0
Short Int Prev Month,835913.0
Short Int Pct of Float,0.012103299999999999
Days to Cover,2.33627
Float,48.29521
Shares Outstanding,50.83271
Institutions Holding Shares,275.0
% Held by Institutions,0.9152939999999999
FCF Growth 5yr,-0.5771764974477983
