,SNX
Price/Earnings (TTM),18.05357
Price/Sales (TTM),0.1596
Price/Book (MRQ),1.25944
Price/Cash Flow (TTM),9.74095
5yr Low,52.06
5yr High,164.74
5yr Avg Return,0.01606666666666667
EPS Growth 5yr,0.011771799999999999
Revenue Growth 5yr,0.1758934
Dividend Growth 5yr,-0.13994109999999998
Short Int Current Month,927728.0
Short Int Prev Month,922353.0
Short Int Pct of Float,0.011007499999999998
Days to Cover,3.34818
Float,84.30344
Shares Outstanding,95.55046
Institutions Holding Shares,401.0
% Held by Institutions,0.854738
FCF Growth 5yr,-1.0777484985806378
