,SNX
% Below High,0.16149999999999998
% Held by Institutions,0.8547
52-Wk Range,['78.87 - 119.30']
Annual Dividend $,1.2
Annual Dividend %,0.0116
Ask,100.12
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,100.0
Bid Size,100.0
Day Change $,-3.04
Day Change %,-0.029500000000000002
Day High,102.04
Day Low,100.03
Dividend Pay Date,2022-10-28 00:00:00
"EPS (TTM, GAAP)",5.71
Ex-dividend,2022-10-13 00:00:00
Ex-dividend Date,10/13/22
Historical Volatility,0.341
Last (size),1.0
Last (time),2:45p ET 11/28/22
Market Cap,9.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.05
Prev Close,103.07
Price,100.03
Shares Outstanding,95.6M
Short Interest,0.011000000000000001
Today's Open,102.04
Volume Past Day,(Light)
