,ASTE
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,1.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.4173228346456692
Growth 2yr High Est,0.9259259259259258
Growth 2yr Consensus Est,0.6716243802857975
Growth 5yr Low Est,0.4173228346456692
Growth 5yr High Est,0.9259259259259258
Growth 5yr Consensus Est,0.6716243802857975
Growth 5yr Actual/Est,0.17856019040417326
Growth 3yr Historic,0.028625601183869753
